"","bags","to_bag_num","to_bag"
"1","posh teal","2","faded coral"
"2","posh teal","3","striped crimson"
"3","posh teal","1","faded red"
"4","mirrored chartreuse","3","clear beige"
"5","mirrored chartreuse","3","shiny silver"
"6","mirrored chartreuse","3","bright green"
"7","dotted red","4","light chartreuse"
"8","faded chartreuse","1","striped black"
"9","faded chartreuse","1","dim coral"
"10","faded chartreuse","5","mirrored maroon"
"11","bright teal","3","light black"
"12","bright teal","4","striped fuchsia"
"13","bright teal","1","dark chartreuse"
"14","dull orange","5","striped green"
"15","dull orange","3","plaid plum"
"16","dull orange","3","pale gray"
"17","dotted tomato","5","plaid blue"
"18","dotted tomato","2","dull maroon"
"19","dotted tomato","1","mirrored maroon"
"20","dotted tomato","3","posh brown"
"21","drab tan","1","striped chartreuse"
"22","drab tan","5","dull lavender"
"23","mirrored indigo","3","mirrored fuchsia"
"24","mirrored indigo","2","striped green"
"25","bright white","2","dark green"
"26","bright white","4","bright yellow"
"27","dotted cyan","1","posh orange"
"28","dotted cyan","2","faded white"
"29","vibrant orange","1","faded silver"
"30","plaid lime","4","shiny olive"
"31","plaid lime","5","dim olive"
"32","plaid lime","1","dotted gray"
"33","plaid lime","2","clear black"
"34","pale green","2","plaid silver"
"35","pale green","5","dark blue"
"36","pale green","1","muted blue"
"37","pale green","3","posh white"
"38","dotted brown","3","dark bronze"
"39","dotted brown","5","posh fuchsia"
"40","dotted brown","3","plaid cyan"
"41","muted yellow","2","vibrant fuchsia"
"42","muted yellow","4","striped brown"
"43","muted yellow","3","muted tan"
"44","muted yellow","1","shiny plum"
"45","light crimson","3","bright lavender"
"46","light crimson","1","shiny olive"
"47","striped black","2","drab aqua"
"48","striped black","1","clear black"
"49","striped black","5","mirrored teal"
"50","striped black","3","dark chartreuse"
"51","faded olive","2","drab aqua"
"52","clear black","0","no other"
"53","dark coral","4","drab magenta"
"54","striped brown","1","bright lavender"
"55","striped brown","1","wavy lime"
"56","striped brown","2","dark chartreuse"
"57","striped brown","2","dim aqua"
"58","dull blue","5","plaid purple"
"59","dull blue","1","drab chartreuse"
"60","dark indigo","5","vibrant white"
"61","dark indigo","3","bright lavender"
"62","dark indigo","1","bright tan"
"63","dark indigo","4","drab aqua"
"64","shiny tomato","1","dark chartreuse"
"65","plaid maroon","5","striped black"
"66","plaid maroon","5","drab green"
"67","plaid brown","5","plaid indigo"
"68","plaid brown","5","shiny gray"
"69","dark yellow","2","vibrant cyan"
